Gen	Base	Freq	Pos
10	1	0.0005	59
12	0	0.9988	59
12	1	0.0012	59
2	0	0.9997	62
2	1	0.0003	62
5	0	0.999	62
5	1	0.001	62
8	0	0.9996	62
8	1	0.0004	62
10	0	0.9988	62
10	1	0.0012	62
12	0	0.9994	62
12	1	0.0006	62
2	0	0.9997	65
2	1	0.0003	65
5	0	0.9995	65
5	1	0.0005	65
8	0	0.9995	65
8	1	0.0005	65
10	0	0.9995	65
10	1	0.0005	65
12	0	0.9994	65
12	1	0.0006	65
2	0	0.9998	68
2	1	0.0002	68
5	0	0.9992	68
5	1	0.0008	68
8	0	0.9996	68
8	1	0.0004	68
10	0	0.9994	68
10	1	0.0006	68
12	0	0.999	68
12	1	0.001	68
2	0	0.9997	71
2	1	0.0003	71
5	0	0.9995	71
5	1	0.0005	71
8	0	0.9992	71
8	1	0.0008	71
10	0	0.9994	71
10	1	0.0006	71
12	0	0.9994	71
12	1	0.0006	71
2	0	0.9991	72
2	1	0.0009	72
5	0	0.9995	72
5	1	0.0005	72
8	0	0.999	72
8	1	0.001	72
10	0	0.9995	72
10	1	0.0005	72
12	0	0.9994	72
12	1	0.0006	72
2	0	0.9998	74
2	1	0.0002	74
5	0	0.9995	74
5	1	0.0005	74
8	0	0.999	74
8	1	0.001	74
10	0	0.9994	74
10	1	0.0006	74
12	0	0.999	74
12	1	0.001	74
2	0	0.9994	77
2	1	0.0006	77
5	0	0.999	77
5	1	0.001	77
8	0	0.9996	77
8	1	0.0004	77
10	0	0.9995	77
10	1	0.0005	77
12	0	0.9988	77
12	1	0.0012	77
2	0	0.9997	80
2	1	0.0003	80
5	0	0.9996	80
5	1	0.0004	80
8	0	0.9992	80
8	1	0.0008	80
10	0	0.999	80
10	1	0.001	80
12	0	0.9994	80
12	1	0.0006	80
2	0	0.9997	83
2	1	0.0003	83
5	0	0.9995	83
5	1	0.0005	83
8	0	0.9996	83
8	1	0.0004	83
10	0	0.9994	83
10	1	0.0006	83
12	0	0.9995	83
12	1	0.0005	83
2	0	0.9994	84
2	1	0.0006	84
5	0	0.9995	84
5	1	0.0005	84
8	0	0.999	84
8	1	0.001	84
10	0	0.9994	84
10	1	0.0006	84
12	0	0.9995	84
12	1	0.0005	84
2	0	0.9997	86
2	1	0.0003	86
5	0	0.999	86
5	1	0.001	86
8	0	0.9996	86
8	1	0.0004	86
10	0	0.9995	86
10	1	0.0005	86
12	0	0.9994	86
12	1	0.0006	86
2	0	0.9997	89
2	1	0.0003	89
5	0	0.9996	89
5	1	0.0004	89
8	0	0.9995	89
8	1	0.0005	89
10	0	0.9994	89
10	1	0.0006	89
12	0	0.9994	89
12	1	0.0006	89
2	0	0.9997	92
2	1	0.0003	92
5	0	0.9992	92
5	1	0.0008	92
8	0	0.9995	92
8	1	0.0005	92
10	0	0.9995	92
10	1	0.0005	92
12	0	0.9995	92
12	1	0.0005	92
2	0	0.9997	95
2	1	0.0003	95
5	0	0.9996	95
5	1	0.0004	95
8	0	0.9992	95
8	1	0.0008	95
10	0	0.9995	95
10	1	0.0005	95
12	0	0.9995	95
12	1	0.0005	95
2	0	0.9997	98
2	1	0.0003	98
5	0	0.9995	98
5	1	0.0005	98
8	0	0.9996	98
8	1	0.0004	98
10	0	0.9994	98
10	1	0.0006	98
12	0	0.9994	98
12	1	0.0006	98
2	0	0.9998	101
2	1	0.0002	101
5	0	0.9995	101
5	1	0.0005	101
8	0	0.9995	101
8	1	0.0005	101
10	0	0.9995	101
10	1	0.0005	101
12	0	0.9994	101
12	1	0.0006	101
2	0	0.9998	103
2	1	0.0002	103
5	0	0.9995	103
5	1	0.0005	103
8	0	0.9996	103
8	1	0.0004	103
10	0	0.9995	103
10	1	0.0005	103
12	0	0.9995	103
12	1	0.0005	103
2	0	0.9991	104
2	1	0.0009	104
5	0	0.9995	104
5	1	0.0005	104
8	0	0.9996	104
8	1	0.0004	104
10	0	0.9988	104
10	1	0.0012	104
12	0	0.999	104
12	1	0.001	104
2	0	0.9997	107
2	1	0.0003	107
5	0	0.9995	107
5	1	0.0005	107
8	0	0.9995	107
8	1	0.0005	107
10	0	0.9994	107
10	1	0.0006	107
12	0	0.9994	107
12	1	0.0006	107
2	0	0.9998	110
2	1	0.0002	110
5	0	0.9995	110
5	1	0.0005	110
8	0	0.9995	110
8	1	0.0005	110
10	0	0.9995	110
10	1	0.0005	110
12	0	0.9995	110
12	1	0.0005	110
2	0	0.9997	111
2	1	0.0003	111
5	0	0.9995	111
5	1	0.0005	111
8	0	0.9995	111
8	1	0.0005	111
10	0	0.9988	111
10	1	0.0012	111
12	0	0.999	111
12	1	0.001	111
2	0	0.9998	112
2	1	0.0002	112
5	0	0.9996	112
5	1	0.0004	112
8	0	0.9995	112
8	1	0.0005	112
10	0	0.9994	112
10	1	0.0006	112
12	0	0.9995	112
12	1	0.0005	112
2	0	0.9997	113
2	1	0.0003	113
5	0	0.9995	113
5	1	0.0005	113
8	0	0.9995	113
8	1	0.0005	113
10	0	0.9994	113
10	1	0.0006	113
12	0	0.9994	113
12	1	0.0006	113
2	0	0.9996	116
2	1	0.0004	116
5	0	0.9996	116
5	1	0.0004	116
8	0	0.9996	116
8	1	0.0004	116
10	0	0.9995	116
10	1	0.0005	116
12	0	0.9995	116
12	1	0.0005	116
2	0	0.9997	119
2	1	0.0003	119
5	0	0.9995	119
5	1	0.0005	119
8	0	0.9995	119
8	1	0.0005	119
10	0	0.9988	119
10	1	0.0012	119
12	0	0.9988	119
12	1	0.0012	119
2	0	0.9997	122
2	1	0.0003	122
5	0	0.9996	122
5	1	0.0004	122
8	0	0.9992	122
8	1	0.0008	122
10	0	0.9994	122
10	1	0.0006	122
12	0	0.9994	122
12	1	0.0006	122
2	0	0.9996	124
2	1	0.0004	124
5	0	0.9996	124
5	1	0.0004	124
8	0	0.9995	124
8	1	0.0005	124
10	0	0.999	124
10	1	0.001	124
12	0	0.9988	124
12	1	0.0012	124
2	0	0.9998	125
2	1	0.0002	125
5	0	0.9996	125
5	1	0.0004	125
8	0	0.9995	125
8	1	0.0005	125
10	0	0.9994	125
10	1	0.0006	125
12	0	0.9995	125
12	1	0.0005	125
2	0	0.9998	126
2	1	0.0002	126
5	0	0.9995	126
5	1	0.0005	126
8	0	0.9995	126
8	1	0.0005	126
10	0	0.9988	126
10	1	0.0012	126
12	0	0.9994	126
12	1	0.0006	126
2	0	0.9998	128
2	1	0.0002	128
5	0	0.9996	128
5	1	0.0004	128
8	0	0.9995	128
8	1	0.0005	128
10	0	0.9995	128
10	1	0.0005	128
12	0	0.9994	128
12	1	0.0006	128
2	0	0.9997	130
2	1	0.0003	130
5	0	0.9995	130
5	1	0.0005	130
8	0	0.9995	130
8	1	0.0005	130
10	0	0.9995	130
10	1	0.0005	130
12	0	0.999	130
12	1	0.001	130
2	0	0.9997	131
2	1	0.0003	131
5	0	0.9992	131
5	1	0.0008	131
8	0	0.9996	131
8	1	0.0004	131
10	0	0.9995	131
10	1	0.0005	131
12	0	0.9995	131
12	1	0.0005	131
2	0	0.9994	134
2	1	0.0006	134
5	0	0.9996	134
5	1	0.0004	134
8	0	0.9996	134
8	1	0.0004	134
10	0	0.9994	134
10	1	0.0006	134
12	0	0.9994	134
12	1	0.0006	134
2	0	0.9998	137
2	1	0.0002	137
5	0	0.9992	137
5	1	0.0008	137
8	0	0.9996	137
8	1	0.0004	137
10	0	0.9995	137
10	1	0.0005	137
12	0	0.9995	137
12	1	0.0005	137
2	0	0.9996	140
2	1	0.0004	140
5	0	0.9996	140
5	1	0.0004	140
8	0	0.9995	140
8	1	0.0005	140
10	0	0.9995	140
10	1	0.0005	140
12	0	0.9982	140
12	1	0.0018	140
2	0	0.9998	143
2	1	0.0002	143
5	0	0.9995	143
5	1	0.0005	143
8	0	0.9995	143
8	1	0.0005	143
10	0	0.9994	143
10	1	0.0006	143
12	0	0.9994	143
12	1	0.0006	143
2	0	0.9997	144
2	1	0.0003	144
5	0	0.9996	144
5	1	0.0004	144
8	0	0.9995	144
8	1	0.0005	144
10	0	0.9994	144
10	1	0.0006	144
12	0	0.9995	144
12	1	0.0005	144
2	0	0.9997	146
2	1	0.0003	146
5	0	0.9992	146
5	1	0.0008	146
8	0	0.9992	146
8	1	0.0008	146
10	0	0.9995	146
10	1	0.0005	146
12	0	0.9995	146
12	1	0.0005	146
2	0	0.9997	149
2	1	0.0003	149
5	0	0.9995	149
5	1	0.0005	149
8	0	0.9996	149
8	1	0.0004	149
10	0	0.9995	149
10	1	0.0005	149
12	0	0.9994	149
12	1	0.0006	149
2	0	0.9998	150
2	1	0.0002	150
5	0	0.9996	150
5	1	0.0004	150
8	0	0.9995	150
8	1	0.0005	150
10	0	0.9994	150
10	1	0.0006	150
12	0	0.9995	150
12	1	0.0005	150
2	0	0.9998	152
2	1	0.0002	152
5	0	0.9995	152
5	1	0.0005	152
8	0	0.9995	152
8	1	0.0005	152
10	0	0.9994	152
10	1	0.0006	152
12	0	0.9995	152
12	1	0.0005	152
2	0	0.9997	155
2	1	0.0003	155
5	0	0.9992	155
5	1	0.0008	155
8	0	0.9996	155
8	1	0.0004	155
10	0	0.9988	155
10	1	0.0012	155
12	0	0.9994	155
12	1	0.0006	155
2	0	0.9997	158
2	1	0.0003	158
5	0	0.999	158
5	1	0.001	158
8	0	0.9995	158
8	1	0.0005	158
10	0	0.9995	158
10	1	0.0005	158
12	0	0.9995	158
12	1	0.0005	158
2	0	0.9996	161
2	1	0.0004	161
5	0	0.9996	161
5	1	0.0004	161
8	0	0.9995	161
8	1	0.0005	161
10	0	0.9988	161
10	1	0.0012	161
12	0	0.9988	161
12	1	0.0012	161
2	0	0.9994	162
2	1	0.0006	162
5	0	0.999	162
5	1	0.001	162
8	0	0.9996	162
8	1	0.0004	162
10	0	0.999	162
10	1	0.001	162
12	0	0.9995	162
12	1	0.0005	162
2	0	0.9994	164
2	1	0.0006	164
5	0	0.9996	164
5	1	0.0004	164
8	0	0.9996	164
8	1	0.0004	164
10	0	0.9995	164
10	1	0.0005	164
12	0	0.9994	164
12	1	0.0006	164
2	0	0.9996	166
2	1	0.0004	166
5	0	0.9996	166
5	1	0.0004	166
8	0	0.9995	166
8	1	0.0005	166
10	0	0.9994	166
10	1	0.0006	166
12	0	0.9995	166
12	1	0.0005	166
2	0	0.9997	167
2	1	0.0003	167
5	0	0.9995	167
5	1	0.0005	167
8	0	0.9992	167
8	1	0.0008	167
10	0	0.9982	167
10	1	0.0018	167
12	0	0.9994	167
12	1	0.0006	167
2	0	0.9994	170
2	1	0.0006	170
5	0	0.9996	170
5	1	0.0004	170
8	0	0.9995	170
8	1	0.0005	170
10	0	0.9995	170
10	1	0.0005	170
12	0	0.9994	170
12	1	0.0006	170
2	0	0.9998	173
2	1	0.0002	173
5	0	0.9992	173
5	1	0.0008	173
8	0	0.9992	173
8	1	0.0008	173
10	0	0.9995	173
10	1	0.0005	173
12	0	0.9994	173
12	1	0.0006	173
2	0	0.9998	176
2	1	0.0002	176
5	0	0.9996	176
5	1	0.0004	176
8	0	0.9985	176
8	1	0.0015	176
10	0	0.999	176
10	1	0.001	176
12	0	0.9995	176
12	1	0.0005	176
2	0	0.9996	178
2	1	0.0004	178
5	0	0.999	178
5	1	0.001	178
8	0	0.9996	178
8	1	0.0004	178
10	0	0.9994	178
10	1	0.0006	178
12	0	0.9988	178
12	1	0.0012	178
2	0	0.9998	179
2	1	0.0002	179
5	0	0.9992	179
5	1	0.0008	179
8	0	0.9996	179
8	1	0.0004	179
10	0	0.9988	179
10	1	0.0012	179
12	0	0.9995	179
12	1	0.0005	179
2	0	0.9996	182
2	1	0.0004	182
5	0	0.9995	182
5	1	0.0005	182
8	0	0.9995	182
8	1	0.0005	182
10	0	0.9995	182
10	1	0.0005	182
12	0	0.9994	182
12	1	0.0006	182
2	0	0.9998	185
2	1	0.0002	185
5	0	0.9995	185
5	1	0.0005	185
8	0	0.9995	185
8	1	0.0005	185
10	0	0.9985	185
10	1	0.0015	185
12	0	0.9988	185
12	1	0.0012	185
2	0	0.9994	188
2	1	0.0006	188
5	0	0.9996	188
5	1	0.0004	188
8	0	0.9996	188
8	1	0.0004	188
10	0	0.9982	188
10	1	0.0018	188
12	0	0.9995	188
12	1	0.0005	188
2	0	0.9996	189
2	1	0.0004	189
5	0	0.9996	189
5	1	0.0004	189
8	0	0.9995	189
8	1	0.0005	189
10	0	0.9988	189
10	1	0.0012	189
12	0	0.9994	189
12	1	0.0006	189
2	0	0.9997	191
2	1	0.0003	191
5	0	0.9995	191
5	1	0.0005	191
8	0	0.9992	191
8	1	0.0008	191
10	0	0.9988	191
10	1	0.0012	191
12	0	0.9988	191
12	1	0.0012	191
2	0	0.9997	194
2	1	0.0003	194
5	0	0.9995	194
5	1	0.0005	194
8	0	0.9996	194
8	1	0.0004	194
10	0	0.999	194
10	1	0.001	194
12	0	0.9995	194
12	1	0.0005	194
2	0	0.9994	197
2	1	0.0006	197
5	0	0.9992	197
5	1	0.0008	197
8	0	0.9995	197
8	1	0.0005	197
10	0	0.9988	197
10	1	0.0012	197
12	0	0.9994	197
12	1	0.0006	197
2	0	0.9998	200
2	1	0.0002	200
5	0	0.9996	200
5	1	0.0004	200
8	0	0.9995	200
8	1	0.0005	200
10	0	0.9995	200
10	1	0.0005	200
12	0	0.9995	200
12	1	0.0005	200
2	0	0.9994	201
2	1	0.0006	201
5	0	0.9996	201
5	1	0.0004	201
8	0	0.9995	201
8	1	0.0005	201
10	0	0.9994	201
10	1	0.0006	201
12	0	0.9995	201
12	1	0.0005	201
2	0	0.9997	203
2	1	0.0003	203
5	0	0.9995	203
5	1	0.0005	203
8	0	0.9988	203
8	1	0.0012	203
10	0	0.9995	203
10	1	0.0005	203
12	0	0.999	203
12	1	0.001	203
2	0	0.9996	206
2	1	0.0004	206
5	0	0.9996	206
5	1	0.0004	206
8	0	0.9996	206
8	1	0.0004	206
10	0	0.999	206
10	1	0.001	206
12	0	0.9994	206
12	1	0.0006	206
2	0	0.9994	209
2	1	0.0006	209
5	0	0.999	209
5	1	0.001	209
8	0	0.9996	209
8	1	0.0004	209
10	0	0.999	209
10	1	0.001	209
12	0	0.9988	209
12	1	0.0012	209
2	0	0.9996	212
2	1	0.0004	212
5	0	0.9996	212
5	1	0.0004	212
8	0	0.9995	212
8	1	0.0005	212
10	0	0.9995	212
10	1	0.0005	212
12	0	0.9988	212
12	1	0.0012	212
2	0	0.9997	215
2	1	0.0003	215
5	0	0.9995	215
5	1	0.0005	215
8	0	0.9995	215
8	1	0.0005	215
10	0	0.999	215
10	1	0.001	215
12	0	0.9995	215
12	1	0.0005	215
2	0	0.9994	218
2	1	0.0006	218
5	0	0.9996	218
5	1	0.0004	218
8	0	0.9995	218
8	1	0.0005	218
10	0	0.9995	218
10	1	0.0005	218
12	0	0.9994	218
12	1	0.0006	218
2	0	0.9998	219
2	1	0.0002	219
5	0	0.9996	219
5	1	0.0004	219
8	0	0.9996	219
8	1	0.0004	219
10	0	0.9994	219
10	1	0.0006	219
12	0	0.9995	219
12	1	0.0005	219
2	0	0.9998	221
2	1	0.0002	221
5	0	0.9995	221
5	1	0.0005	221
8	0	0.9996	221
8	1	0.0004	221
10	0	0.9995	221
10	1	0.0005	221
12	0	0.9995	221
12	1	0.0005	221
2	0	0.9998	224
2	1	0.0002	224
5	0	0.999	224
5	1	0.001	224
8	0	0.9995	224
8	1	0.0005	224
10	0	0.9995	224
10	1	0.0005	224
12	0	0.9988	224
12	1	0.0012	224
2	0	0.9996	227
2	1	0.0004	227
5	0	0.9996	227
5	1	0.0004	227
8	0	0.9996	227
8	1	0.0004	227
10	0	0.9994	227
10	1	0.0006	227
12	0	0.9995	227
12	1	0.0005	227
2	0	0.9998	230
2	1	0.0002	230
5	0	0.9996	230
5	1	0.0004	230
8	0	0.9995	230
8	1	0.0005	230
10	0	0.9994	230
10	1	0.0006	230
12	0	0.9988	230
12	1	0.0012	230
2	0	0.9998	233
2	1	0.0002	233
5	0	0.9996	233
5	1	0.0004	233
8	0	0.9996	233
8	1	0.0004	233
10	0	0.9994	233
10	1	0.0006	233
12	0	0.9994	233
12	1	0.0006	233
2	0	0.9997	236
2	1	0.0003	236
5	0	0.9995	236
5	1	0.0005	236
8	0	0.9996	236
8	1	0.0004	236
10	0	0.9994	236
10	1	0.0006	236
12	0	0.999	236
12	1	0.001	236
2	0	0.9994	239
2	1	0.0006	239
5	0	0.9996	239
5	1	0.0004	239
8	0	0.9996	239
8	1	0.0004	239
10	0	0.9994	239
10	1	0.0006	239
12	0	0.999	239
12	1	0.001	239
2	0	0.9997	242
2	1	0.0003	242
5	0	0.9995	242
5	1	0.0005	242
8	0	0.999	242
8	1	0.001	242
10	0	0.999	242
10	1	0.001	242
12	0	0.9994	242
12	1	0.0006	242
